iter	Passed	Remaining
0	9	7710
1	17	6886
2	24	6351
3	30	5939
4	36	5627
5	42	5491
6	48	5365
7	54	5275
8	62	5334
9	69	5331
10	76	5341
11	83	5313
12	90	5323
13	99	5439
14	107	5462
15	114	5437
16	123	5530
17	129	5495
18	136	5453
19	144	5492
20	153	5528
21	160	5526
22	166	5486
23	173	5445
24	178	5388
25	185	5359
26	191	5321
27	197	5292
28	206	5345
29	215	5391
30	225	5447
31	231	5409
32	239	5420
33	248	5454
34	255	5431
35	262	5414
36	269	5395
37	277	5403
38	286	5433
39	293	5430
40	301	5419
41	308	5412
42	317	5431
43	326	5460
44	335	5470
45	341	5442
46	348	5429
47	357	5437
48	365	5451
49	376	5483
50	383	5471
51	389	5444
52	395	5419
53	403	5419
54	410	5397
55	415	5369
56	422	5348
57	430	5352
58	440	5371
59	447	5367
60	454	5347
61	460	5323
62	466	5298
63	473	5293
64	481	5291
65	488	5279
66	497	5284
67	502	5258
68	510	5249
69	517	5240
70	524	5225
71	532	5233
72	541	5235
73	547	5219
74	554	5209
75	560	5189
76	567	5173
77	577	5189
78	584	5179
79	592	5174
80	597	5152
81	604	5136
82	610	5116
83	616	5098
84	626	5112
85	634	5109
86	644	5127
87	650	5107
88	656	5088
89	662	5074
90	669	5058
91	675	5047
92	683	5041
93	691	5040
94	699	5033
95	706	5025
96	712	5008
97	718	4990
98	725	4981
99	731	4967
100	741	4978
101	748	4966
102	754	4953
103	760	4935
104	766	4920
105	773	4912
106	781	4907
107	788	4897
108	794	4880
109	800	4868
110	807	4859
111	813	4845
112	820	4834
113	827	4825
114	833	4812
115	840	4805
116	849	4805
117	855	4793
118	863	4787
119	870	4782
120	877	4769
121	884	4763
122	891	4756
123	902	4765
124	909	4759
125	915	4746
126	922	4735
127	928	4724
128	936	4719
129	944	4716
130	950	4703
131	956	4689
132	964	4682
133	972	4679
134	981	4681
135	987	4666
136	992	4652
137	998	4637
138	1006	4634
139	1015	4633
140	1021	4624
141	1032	4630
142	1037	4616
143	1043	4602
144	1049	4587
145	1055	4577
146	1063	4573
147	1070	4562
148	1075	4549
149	1082	4537
150	1089	4530
151	1097	4526
152	1105	4523
153	1112	4514
154	1119	4506
155	1125	4495
156	1134	4494
157	1142	4490
158	1149	4483
159	1157	4477
160	1163	4466
161	1177	4486
162	1188	4489
163	1197	4488
164	1208	4495
165	1217	4494
166	1224	4487
167	1232	4482
168	1243	4486
169	1252	4486
170	1259	4479
171	1267	4473
172	1275	4467
173	1282	4460
174	1290	4453
175	1300	4455
176	1307	4446
177	1317	4446
178	1325	4442
179	1332	4435
180	1340	4428
181	1347	4419
182	1357	4422
183	1365	4414
184	1373	4408
185	1380	4402
186	1391	4405
187	1402	4409
188	1413	4411
189	1420	4404
190	1428	4397
191	1437	4393
192	1444	4384
193	1452	4378
194	1460	4374
195	1468	4366
196	1477	4364
197	1485	4358
198	1491	4348
199	1502	4348
200	1509	4340
201	1520	4342
202	1527	4335
203	1535	4327
204	1544	4323
205	1553	4321
206	1559	4310
207	1566	4301
208	1574	4292
209	1581	4286
210	1588	4277
211	1594	4265
212	1601	4255
213	1609	4249
214	1617	4242
215	1625	4237
216	1635	4236
217	1645	4234
218	1653	4228
219	1662	4224
220	1674	4228
221	1682	4220
222	1689	4212
223	1695	4201
224	1703	4194
225	1712	4189
226	1720	4183
227	1726	4172
228	1733	4162
229	1740	4154
230	1748	4147
231	1754	4137
232	1761	4128
233	1769	4121
234	1778	4116
235	1785	4108
236	1793	4100
237	1802	4096
238	1810	4090
239	1817	4081
240	1824	4073
241	1831	4064
242	1839	4058
243	1846	4048
244	1853	4039
245	1859	4028
246	1869	4026
247	1876	4017
248	1882	4007
249	1889	3997
250	1897	3992
251	1908	3990
252	1915	3981
253	1921	3970
254	1928	3961
255	1933	3950
256	1941	3943
257	1951	3941
258	1958	3932
259	1965	3922
260	1972	3913
261	1981	3909
262	1993	3911
263	2003	3908
264	2011	3901
265	2017	3890
266	2023	3880
267	2030	3871
268	2042	3872
269	2048	3862
270	2055	3852
271	2061	3842
272	2067	3832
273	2077	3829
274	2085	3821
275	2093	3814
276	2101	3807
277	2107	3798
278	2113	3788
279	2120	3779
280	2131	3777
281	2138	3769
282	2145	3760
283	2150	3749
284	2157	3740
285	2170	3740
286	2176	3731
287	2183	3723
288	2189	3712
289	2198	3707
290	2207	3702
291	2215	3695
292	2221	3685
293	2227	3675
294	2234	3665
295	2243	3660
296	2253	3657
297	2261	3650
298	2269	3644
