iter	Passed	Remaining
0	6	5059
1	14	5561
2	21	5433
3	28	5601
4	37	5805
5	43	5651
6	50	5538
7	59	5772
8	68	5822
9	74	5752
10	81	5712
11	88	5639
12	95	5644
13	103	5667
14	110	5629
15	117	5601
16	123	5544
17	130	5522
18	136	5458
19	142	5401
20	148	5350
21	154	5309
22	161	5320
23	168	5316
24	174	5276
25	183	5301
26	189	5277
27	196	5266
28	202	5243
29	211	5276
30	219	5300
31	228	5324
32	234	5303
33	242	5315
34	250	5314
35	256	5301
36	263	5286
37	271	5299
38	279	5303
39	286	5294
40	294	5304
41	301	5294
42	309	5298
43	316	5283
44	324	5284
45	330	5265
46	336	5248
47	343	5231
48	349	5211
49	357	5205
50	364	5196
51	372	5201
52	379	5201
53	386	5182
54	392	5167
55	399	5153
56	406	5152
57	413	5143
58	422	5155
59	430	5164
60	438	5159
61	446	5169
62	454	5160
63	461	5153
64	468	5141
65	475	5131
66	482	5122
67	487	5098
68	493	5074
69	498	5048
70	504	5029
71	510	5017
72	521	5043
73	529	5041
74	534	5021
75	541	5004
76	547	4993
77	554	4980
78	560	4962
79	568	4968
80	577	4972
81	585	4975
82	592	4970
83	599	4958
84	605	4946
85	612	4937
86	618	4921
87	625	4908
88	634	4915
89	640	4906
90	647	4892
91	652	4874
92	658	4857
93	664	4841
94	671	4835
95	677	4821
96	683	4808
97	690	4795
98	697	4787
99	703	4777
100	711	4776
101	720	4780
102	726	4768
103	732	4754
104	738	4740
105	745	4732
106	754	4737
107	760	4726
108	767	4716
109	775	4714
110	781	4704
111	789	4701
112	795	4688
113	803	4688
114	810	4682
115	817	4672
116	826	4677
117	835	4682
118	842	4673
119	848	4660
120	855	4651
121	863	4647
122	870	4641
123	876	4629
124	882	4616
125	887	4602
126	893	4588
127	900	4582
128	906	4569
129	912	4557
130	919	4548
131	925	4537
132	931	4525
133	939	4521
134	946	4515
135	952	4503
136	958	4492
137	965	4482
138	971	4471
139	980	4474
140	986	4463
141	994	4459
142	1000	4450
143	1008	4445
144	1014	4435
145	1020	4426
146	1027	4418
147	1035	4416
148	1042	4406
149	1047	4394
150	1053	4383
151	1059	4371
152	1066	4361
153	1071	4350
154	1077	4339
155	1083	4326
156	1089	4315
157	1095	4304
158	1101	4293
159	1107	4286
160	1113	4275
161	1120	4266
162	1126	4258
163	1133	4249
164	1138	4237
165	1144	4226
166	1149	4214
167	1155	4202
168	1161	4194
169	1167	4182
170	1176	4181
171	1182	4172
172	1188	4161
173	1194	4151
174	1200	4144
175	1206	4134
176	1212	4125
177	1219	4116
178	1226	4110
179	1235	4109
180	1243	4107
181	1250	4102
182	1256	4092
183	1264	4088
184	1273	4088
185	1280	4082
186	1286	4074
187	1293	4066
188	1300	4060
189	1307	4054
190	1315	4049
191	1322	4043
192	1329	4036
193	1336	4029
194	1343	4023
195	1350	4017
196	1357	4011
197	1365	4006
198	1373	4002
199	1381	3998
200	1389	3995
201	1396	3990
202	1405	3987
203	1414	3987
204	1421	3980
205	1429	3975
206	1437	3971
207	1448	3976
208	1456	3973
209	1463	3965
210	1471	3962
211	1482	3965
212	1490	3960
213	1497	3954
214	1505	3949
215	1512	3941
216	1518	3931
217	1525	3924
218	1531	3915
219	1537	3905
220	1543	3897
221	1551	3893
222	1558	3885
223	1564	3875
224	1569	3865
225	1575	3855
226	1581	3846
227	1587	3837
228	1594	3829
229	1601	3821
230	1607	3813
231	1616	3810
232	1623	3804
233	1631	3800
234	1639	3795
235	1646	3787
236	1653	3780
237	1659	3772
238	1665	3763
239	1672	3756
240	1678	3747
241	1684	3738
242	1691	3730
243	1697	3721
244	1703	3712
245	1709	3704
246	1715	3694
247	1720	3684
248	1727	3676
249	1733	3667
250	1739	3658
251	1746	3651
252	1752	3643
253	1758	3634
254	1764	3625
255	1771	3618
256	1777	3609
257	1783	3600
258	1788	3591
259	1795	3583
260	1800	3574
261	1806	3564
262	1811	3555
263	1818	3547
264	1825	3541
265	1831	3531
266	1837	3524
267	1843	3515
268	1849	3507
269	1855	3498
270	1862	3491
271	1868	3483
272	1875	3475
273	1881	3467
274	1887	3458
275	1894	3452
276	1899	3443
277	1905	3434
278	1911	3425
279	1917	3416
280	1923	3408
281	1929	3400
282	1935	3391
283	1940	3382
284	1948	3376
285	1954	3368
286	1961	3362
287	1967	3354
288	1973	3346
289	1981	3340
290	1987	3332
291	1993	3324
292	1999	3316
293	2005	3308
294	2011	3300
295	2017	3292
296	2023	3284
297	2029	3276
298	2036	3268
