Employee_ID,Attrition_Status,Attrition_Date
E10001,No,
E10002,No,
E10003,Yes,2023-06-11
E10004,Yes,2023-10-22
E10005,No,
E10006,No,
E10007,No,
E10008,No,
E10009,No,
E10010,No,
E10011,No,
E10012,Yes,2023-03-18
E10013,No,
E10014,No,
E10015,Yes,2024-07-01
E10016,No,
E10017,No,
E10018,No,
E10019,No,
E10020,Yes,2024-08-12
E10021,No,
E10022,No,
E10023,Yes,2023-09-05
E10024,No,
E10025,No,
E10026,No,
E10027,No,
E10028,No,
E10029,No,
E10030,No,
E10031,No,
E10032,No,
E10033,Yes,2024-06-14
E10034,No,
E10035,Yes,2024-09-17
E10036,No,
E10037,No,
E10038,No,
E10039,No,
E10040,No,
E10041,No,
E10042,No,
E10043,No,
E10044,Yes,2024-05-27
E10045,No,
E10046,No,
E10047,No,
E10048,No,
E10049,No,
E10050,Yes,2023-11-16
E10051,Yes,2024-02-13
E10052,No,
E10053,No,
E10054,No,
E10055,No,
E10056,No,
E10057,No,
E10058,No,
E10059,No,
E10060,Yes,2024-09-25
E10061,No,
E10062,No,
E10063,No,
E10064,No,
E10065,No,
E10066,No,
E10067,No,
E10068,No,
E10069,No,
E10070,No,
E10071,No,
E10072,No,
E10073,No,
E10074,No,
E10075,No,
E10076,No,
E10077,Yes,2023-02-28
E10078,No,
E10079,No,
E10080,No,
E10081,No,
E10082,No,
E10083,No,
E10084,No,
E10085,No,
E10086,No,
E10087,Yes,2024-07-13
E10088,No,
E10089,No,
E10090,Yes,2024-12-15
E10091,No,
E10092,No,
E10093,No,
E10094,Yes,2023-04-24
E10095,No,
E10096,No,
E10097,No,
E10098,No,
E10099,Yes,2024-08-19
E10100,No,
E10101,No,
E10102,Yes,2024-04-27
E10103,Yes,2023-09-27
E10104,No,
E10105,No,
E10106,No,
E10107,No,
E10108,No,
E10109,No,
E10110,No,
E10111,Yes,2024-10-30
E10112,Yes,2023-01-31
E10113,Yes,2023-02-03
E10114,Yes,2023-12-13
E10115,No,
E10116,No,
E10117,No,
E10118,No,
E10119,Yes,2024-03-07
E10120,No,
E10121,No,
E10122,No,
E10123,No,
E10124,No,
E10125,No,
E10126,No,
E10127,No,
E10128,No,
E10129,No,
E10130,No,
E10131,No,
E10132,No,
E10133,No,
E10134,No,
E10135,Yes,2023-09-25
E10136,Yes,2023-07-25
E10137,No,
E10138,No,
E10139,No,
E10140,Yes,2023-12-09
E10141,No,
E10142,Yes,2025-02-22
E10143,No,
E10144,No,
E10145,No,
E10146,Yes,2023-03-02
E10147,No,
E10148,No,
E10149,No,
E10150,No,
E10151,Yes,2023-05-23
E10152,No,
E10153,No,
E10154,No,
E10155,No,
E10156,No,
E10157,Yes,2023-07-29
E10158,No,
E10159,No,
E10160,No,
E10161,No,
E10162,No,
E10163,Yes,2024-07-14
E10164,No,
E10165,No,
E10166,No,
E10167,No,
E10168,No,
E10169,No,
E10170,No,
E10171,No,
E10172,No,
E10173,No,
E10174,Yes,2025-01-21
E10175,No,
E10176,No,
E10177,Yes,2023-12-04
E10178,No,
E10179,No,
E10180,No,
E10181,No,
E10182,No,
E10183,No,
E10184,No,
E10185,No,
E10186,No,
E10187,No,
E10188,No,
E10189,No,
E10190,No,
E10191,No,
E10192,Yes,2025-02-14
E10193,No,
E10194,No,
E10195,No,
E10196,Yes,2024-11-10
E10197,No,
E10198,Yes,2023-03-05
E10199,No,
E10200,No,
E10201,No,
E10202,Yes,2023-08-30
E10203,No,
E10204,No,
E10205,No,
E10206,No,
E10207,No,
E10208,No,
E10209,No,
E10210,No,
E10211,No,
E10212,No,
E10213,No,
E10214,Yes,2024-05-20
E10215,Yes,2023-03-16
E10216,No,
E10217,No,
E10218,No,
E10219,No,
E10220,No,
E10221,Yes,2024-07-31
E10222,No,
E10223,No,
E10224,Yes,2024-09-16
E10225,No,
E10226,No,
E10227,No,
E10228,No,
E10229,Yes,2024-12-20
E10230,No,
E10231,Yes,2025-02-22
E10232,No,
E10233,No,
E10234,No,
E10235,No,
E10236,No,
E10237,No,
E10238,Yes,2023-02-06
E10239,No,
E10240,No,
