Employee_ID,Base_Salary,Bonus,Stock_Options,Total_Compensation
E10001,120646,10032,3758,134436
E10002,87447,10342,3360,101149
E10003,92222,5466,2496,100184
E10004,114022,9363,7212,130597
E10005,148880,5614,25296,179790
E10006,259270,31642,31439,322351
E10007,202136,33974,38739,274849
E10008,211910,37333,21243,270486
E10009,184483,28474,10464,223421
E10010,144769,14848,11818,171435
E10011,108972,12309,16189,137470
E10012,77235,13732,2575,93542
E10013,130445,16048,16677,163170
E10014,214475,28351,13162,255988
E10015,120086,7342,8694,136122
E10016,156769,16725,10298,183792
E10017,81600,11804,388,93792
E10018,77088,3067,564,80719
E10019,119830,15051,10933,145814
E10020,89322,11204,6703,107229
E10021,95763,6587,3234,105584
E10022,97649,8074,18005,123728
E10023,81075,17868,2829,101772
E10024,95823,19529,6584,121936
E10025,117992,18154,9395,145541
E10026,93027,7735,14389,115151
E10027,205461,18109,28790,252360
E10028,83523,9121,450,93094
E10029,126486,18949,3240,148675
E10030,145357,14694,10863,170914
E10031,94195,10803,2926,107924
E10032,157164,27789,20162,205115
E10033,158358,27926,20901,207185
E10034,88410,9456,4495,102361
E10035,95734,15812,8217,119763
E10036,213174,37490,34390,285054
E10037,62154,12800,160,75114
E10038,141653,13377,11338,166368
E10039,82061,8992,2239,93292
E10040,121513,13215,4290,139018
E10041,175310,17388,12477,205175
E10042,71271,4941,34,76246
E10043,88670,10240,17507,116417
E10044,55717,1975,644,58336
E10045,155509,25873,8366,189748
E10046,130829,12059,4101,146989
E10047,152970,30241,6073,189284
E10048,88242,9079,3591,100912
E10049,104216,11147,7024,122387
E10050,94240,4811,14392,113443
E10051,59531,6219,457,66207
E10052,167209,27183,26484,220876
E10053,88096,9240,2135,99471
E10054,104490,12960,4773,122223
E10055,99079,12401,5394,116874
E10056,70534,5374,335,76243
E10057,91051,9586,12190,112827
E10058,128455,18027,12992,159474
E10059,130213,9979,9153,149345
E10060,162455,23300,6959,192714
E10061,113666,9553,7550,130769
E10062,99854,23737,1125,124716
E10063,127388,19315,15355,162058
E10064,82862,9211,2860,94933
E10065,85989,12437,5925,104351
E10066,64701,5709,2472,72882
E10067,147218,7187,22642,177047
E10068,143756,13011,17633,174400
E10069,115591,9193,14790,139574
E10070,58394,3481,773,62648
E10071,218923,35635,41553,296111
E10072,153367,26850,28417,208634
E10073,204852,28427,35329,268608
E10074,170668,25820,12349,208837
E10075,112690,20097,9216,142003
E10076,107065,5389,4965,117419
E10077,121884,20780,22728,165392
E10078,195617,26591,36338,258546
E10079,132377,16964,9785,159126
E10080,134424,7531,11767,153722
E10081,155607,23156,21448,200211
E10082,73161,8266,1038,82465
E10083,74359,8763,2977,86099
E10084,157127,13754,11914,182795
E10085,76500,11975,828,89303
E10086,111134,16476,4580,132190
E10087,74444,3440,2212,80096
E10088,113691,19193,7622,140506
E10089,137701,16032,18231,171964
E10090,78719,5502,572,84793
E10091,170790,8311,20412,199513
E10092,131209,18472,12370,162051
E10093,114531,14204,10887,139622
E10094,96464,4570,2317,103351
E10095,99360,5757,8879,113996
E10096,79727,5199,3957,88883
E10097,109745,9624,4126,123495
E10098,62056,2151,2609,66816
E10099,204294,36619,19245,260158
E10100,113458,12877,21158,147493
E10101,170609,14226,11574,196409
E10102,77398,4027,1224,82649
E10103,88208,11896,6301,106405
E10104,78222,5448,370,84040
E10105,104799,12431,5380,122610
E10106,85941,18044,1692,105677
E10107,71775,4783,1835,78393
E10108,103997,12062,19,116078
E10109,136943,18889,9874,165706
E10110,142341,4612,15857,162810
E10111,73195,13943,886,88024
E10112,156648,18628,12679,187955
E10113,68535,7308,2656,78499
E10114,108266,3299,10063,121628
E10115,107615,14799,7983,130397
E10116,190975,23944,9830,224749
E10117,164876,25859,32241,222976
E10118,227143,23912,14096,265151
E10119,44644,2319,903,47866
E10120,69001,4037,2303,75341
E10121,93838,4894,13479,112211
E10122,68047,5593,6220,79860
E10123,90751,17626,8855,117232
E10124,128874,10973,20357,160204
E10125,95169,21676,6767,123612
E10126,93443,13995,2604,110042
E10127,197183,28411,22892,248486
E10128,174893,18051,13650,206594
E10129,190745,18428,20399,229572
E10130,99403,16455,3112,118970
E10131,111255,13839,9215,134309
E10132,128538,23275,7847,159660
E10133,210523,33354,14018,257895
E10134,130825,22220,8067,161112
E10135,55978,5037,922,61937
E10136,78074,10323,4693,93090
E10137,116472,16123,4723,137318
E10138,92353,3080,3493,98926
E10139,72269,9492,29,81790
E10140,128085,22042,3999,154126
E10141,101319,14136,6657,122112
E10142,64286,10821,2084,77191
E10143,76243,5869,159,82271
