employee_idx,attrition_probability,risk_tier,cluster,cluster_persona,base_salary,expected_attrition_cost
0,0.09506389099336116,Low,1,Stable Performer,120646.0,17203.617289177575
1,0.300378983533333,Low,0,Disengaged Mid-Tenure,87447.0,39400.861459559055
2,0.09133261872854428,Low,1,Stable Performer,92222.0,12634.315146575716
3,0.7892777789932656,High,0,Disengaged Mid-Tenure,114022.0,134992.54637455518
4,0.05538263622082001,Low,2,Burnt-Out Overachiever,148880.0,12368.050320833523
5,0.16704827940996028,Low,1,Stable Performer,259270.0,64965.9111039306
6,0.07829546778828525,Low,1,Stable Performer,202136.0,23739.49901527924
7,0.045723064790984216,Low,1,Stable Performer,211910.0,14533.761989786199
8,0.06418666614529829,Low,1,Stable Performer,184483.0,17762.0230957246
9,0.03477437858289108,Low,1,Stable Performer,144769.0,7551.378019599838
10,0.1265152523921134,Low,1,Stable Performer,108972.0,20679.93012551007
11,0.5920019522208578,Medium,0,Disengaged Mid-Tenure,77235.0,68584.90616966694
12,0.0707711505381425,Low,1,Stable Performer,130445.0,13847.614097921996
13,0.062303253109915475,Low,1,Stable Performer,214475.0,20043.735316123682
14,0.07839405114217018,Low,1,Stable Performer,120086.0,14121.042038187974
15,0.07835429188513066,Low,1,Stable Performer,156769.0,18425.28597681007
16,0.07789480382906265,Low,1,Stable Performer,81600.0,9534.323988677268
17,0.059904883871454706,Low,3,Underpaid High Performer,77088.0,6926.92153182405
18,0.03537527629662116,Low,1,Stable Performer,119830.0,6358.52903793617
19,0.26972269149848166,Low,0,Disengaged Mid-Tenure,89322.0,36138.255375041066
20,0.06331374528337026,Low,1,Stable Performer,95763.0,9094.67128435708
21,0.2858764067248855,Low,1,Stable Performer,97649.0,41873.31786041752
22,0.47603620242018235,Medium,0,Disengaged Mid-Tenure,81075.0,57891.95266682443
23,0.149916225750576,Low,1,Stable Performer,95823.0,21548.133750146168
24,0.22106272946477806,Low,2,Burnt-Out Overachiever,117992.0,39125.45036251214
25,0.050343764982257885,Low,1,Stable Performer,93027.0,7024.9941375067565
